epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,502.06,1.50928,1.28087,0.98498,0.98014,0.75167,0.92614,0.57059,1.3695,1.63235,0.93378,0.000834822,0.000834822,0.000834822
44,512.133,1.3754,1.19478,0.92294,0.95683,0.84392,0.98125,0.6199,1.37973,1.44757,0.9379,0.000820675,0.000820675,0.000820675
45,523.203,1.33737,1.16358,0.94841,0.95683,0.84392,0.98125,0.6199,1.37973,1.44757,0.9379,0.000806528,0.000806528,0.000806528
46,533.063,1.48753,1.25211,0.99728,0.9348,0.83061,0.97541,0.62929,1.3217,1.37324,0.92577,0.00079238,0.00079238,0.00079238
47,542.292,1.38933,1.11244,0.95791,0.93988,0.81716,0.97468,0.63867,1.21802,1.37402,0.90316,0.000778233,0.000778233,0.000778233
48,551.736,1.48502,1.1561,1.00815,0.94793,0.76053,0.9673,0.63856,1.21276,1.40469,0.89648,0.000764086,0.000764086,0.000764086
49,561.165,1.33959,1.14883,0.93914,0.94793,0.76053,0.9673,0.63856,1.21276,1.40469,0.89648,0.000749939,0.000749939,0.000749939
50,570.347,1.40347,1.17221,0.94133,0.96063,0.81331,0.9829,0.65064,1.29743,1.407,0.90803,0.000735792,0.000735792,0.000735792
51,579.432,1.39818,1.12358,0.96361,0.97311,0.95665,0.9925,0.65152,1.27094,1.41491,0.90098,0.000721645,0.000721645,0.000721645
52,588.742,1.36263,1.14398,0.9393,0.99103,1,0.995,0.66227,1.21324,1.29244,0.8906,0.000707498,0.000707498,0.000707498
53,598.126,1.37007,1.07569,0.94252,0.99103,1,0.995,0.66227,1.21324,1.29244,0.8906,0.000693351,0.000693351,0.000693351
54,607.69,1.26533,1.0373,0.92491,0.97115,1,0.995,0.67687,1.16469,1.11967,0.88288,0.000679204,0.000679204,0.000679204
